regime,bin,feature,pooled_ic,mean_ts_ic,rows
dispersion_12h,low,taker_cvd_12h,-0.000497436020577061,-0.004340686950740272,28545
dispersion_12h,low,oi_chg_24h,-0.0053573599026129765,-0.004498077604183162,28545
dispersion_12h,low,oi_zscore,-0.0005202906919230416,-0.006233225305785569,28545
dispersion_12h,low,oi_chg_12h,-0.010828727280171325,-0.01948364115260448,28545
dispersion_12h,low,iv_rv_spread,-0.024230406653517077,-0.02438829303050852,28545
dispersion_12h,low,ret_24h,-0.01878308511624432,-0.042086861239473486,28545
dispersion_12h,low,residual_24h,-0.020131498276971405,-0.046656571369448285,28545
dispersion_12h,low,mom_z_24h,-0.02214088697901409,-0.055931698339757877,28545
dispersion_12h,low,ret_168h,-0.017008150133323675,-0.06599462362875368,28545
dispersion_12h,low,ret_12h,-0.027527313918973312,-0.07354609274947885,28545
dispersion_12h,low,residual_12h,-0.029415027335355018,-0.07703701475613405,28545
dispersion_12h,low,ret_48h,-0.030875681919923757,-0.0781020472522595,28545
dispersion_12h,low,pct_coins_up_12h,,,28545
dispersion_12h,low,pct_coins_up_1h,,,28545
dispersion_12h,low,hour_sin,,,28545
dispersion_12h,low,hour_cos,,,28545
dispersion_12h,low,dow_sin,,,28545
dispersion_12h,low,dow_cos,,,28545
dispersion_12h,mid,iv_rv_spread,0.03283572320922815,0.0872885588505268,28512
dispersion_12h,mid,dist_from_high_24h,0.015115965637212882,0.049247332994310694,28512
dispersion_12h,mid,oi_chg_12h,-0.001741704390427512,-0.0019252153874316795,28512
dispersion_12h,mid,oi_chg_24h,0.002462112051075405,-0.0036810215253473863,28512
dispersion_12h,mid,taker_cvd_12h,-0.005127707749382504,-0.007776492560696891,28512
dispersion_12h,mid,ls_divergence,-0.0009223881490306244,-0.010860545186290042,28512
dispersion_12h,mid,taker_cvd_24h,-0.006623644096155737,-0.011183787160855371,28512
dispersion_12h,mid,oi_zscore,-0.0028517851458486035,-0.01726849327160216,28512
dispersion_12h,mid,ret_skew_168h,-0.015320590745280728,-0.04208634163365219,28512
dispersion_12h,mid,ret_168h,-0.008260050733036444,-0.04831061952668804,28512
dispersion_12h,mid,ret_12h,-0.01472246340912666,-0.049583492579330465,28512
dispersion_12h,mid,ret_24h,-0.013454334454369467,-0.052000229162242326,28512
